CMPLNT_FR_DT,CMPLNT_FR_TM,LAW_CAT_CD,BORO_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
6/1/2017,0:00:00,FELONY,MANHATTAN,"986,588","217,986",40.76500555,-73.99156133
6/1/2017,0:00:00,FELONY,MANHATTAN,"1,001,575","232,339",40.80438405,-73.93742167
6/1/2017,0:00:00,MISDEMEANOR,MANHATTAN,"1,002,268","234,973",40.81161226,-73.93491141
6/1/2017,0:00:00,MISDEMEANOR,MANHATTAN,"1,000,558","231,080",40.80093037,-73.94109824
6/1/2017,0:00:00,MISDEMEANOR,MANHATTAN,"1,000,558","231,080",40.80093037,-73.94109824
6/1/2017,0:00:00,MISDEMEANOR,MANHATTAN,"1,000,558","231,080",40.80093037,-73.94109824
6/1/2017,0:00:00,MISDEMEANOR,MANHATTAN,"1,000,558","231,080",40.80093037,-73.94109824
6/1/2017,0:00:00,MISDEMEANOR,MANHATTAN,"1,000,558","231,080",40.80093037,-73.94109824
6/1/2017,0:00:00,MISDEMEANOR,MANHATTAN,"1,000,558","231,080",40.80093037,-73.94109824
6/1/2017,0:00:00,MISDEMEANOR,MANHATTAN,"1,000,558","231,080",40.80093037,-73.94109824
6/1/2017,0:00:00,FELONY,MANHATTAN,"988,341","212,669",40.75041111,-73.98523629
6/1/2017,0:01:00,MISDEMEANOR,MANHATTAN,"985,168","217,281",40.76307077,-73.99668759
6/1/2017,0:01:00,FELONY,MANHATTAN,"988,545","208,820",40.73984647,-73.98450247
6/1/2017,0:01:00,MISDEMEANOR,MANHATTAN,"1,002,585","247,807",40.84683726,-73.93373117
6/1/2017,0:01:00,MISDEMEANOR,MANHATTAN,"1,002,387","246,975",40.84455408,-73.93444908
6/1/2017,0:01:00,MISDEMEANOR,MANHATTAN,"1,002,383","247,443",40.84583861,-73.93446227
6/1/2017,0:01:00,MISDEMEANOR,MANHATTAN,"1,002,656","246,987",40.84458646,-73.9334768
6/1/2017,0:01:00,MISDEMEANOR,MANHATTAN,"1,001,998","247,656",40.84642401,-73.93585324
6/1/2017,0:15:00,MISDEMEANOR,MANHATTAN,"1,001,769","234,797",40.81113019,-73.93671451
6/1/2017,0:18:00,MISDEMEANOR,MANHATTAN,"999,705","227,596",40.79136927,-73.94418723
6/1/2017,0:20:00,FELONY,MANHATTAN,"999,863","240,087",40.82565333,-73.94358758
6/1/2017,0:25:00,MISDEMEANOR,MANHATTAN,"990,120","209,875",40.74274128,-73.97881799
6/1/2017,0:30:00,VIOLATION,MANHATTAN,"987,997","208,074",40.73779913,-73.9864804
6/1/2017,0:30:00,MISDEMEANOR,MANHATTAN,"995,761","231,302",40.80154725,-73.95842424
